            [A]                    
            [N]                    
            [M]                    
    [L]     [U]                    
    [V]     [W]                    
    [K]     [C]                    
    [I]     [G]                    
    [U]     [T]     [C] [I]        
    [G]     [G]     [K] [E]     [U]
    [U]     [O] [E] [D] [Z]     [O]
    [W]     [K] [S] [T] [J]     [A]
    [O]     [U] [H] [W] [Q]     [S]
    [A]     [W] [Z] [D] [T]     [T]
    [P]     [G] [J] [L] [D]     [E]
    [E]     [A] [I] [P] [B] [M] [K]
    [R] [W] [B] [P] [Q] [H] [S] [U]
    [M] [R] [G] [R] [I] [W] [E] [L]
    [G] [G] [T] [Q] [H] [N] [T] [C]
[R] [L] [N] [W] [W] [U] [K] [G] [T]
 1   2   3   4   5   6   7   8   9 

move 2 from 5 to 2
move 10 from 6 to 9
move 4 from 7 to 5
move 3 from 7 to 3
move 3 from 4 to 1
move 4 from 9 to 8
move 1 from 4 to 6
move 1 from 3 to 6
move 5 from 4 to 3
move 2 from 3 to 4
move 6 from 8 to 3
move 2 from 7 to 8
move 1 from 2 to 7
move 13 from 3 to 4
move 3 from 7 to 6
move 14 from 9 to 2
move 3 from 1 to 7
move 3 from 4 to 5
move 3 from 4 to 8
move 2 from 5 to 9
move 1 from 6 to 5
move 1 from 8 to 1
move 1 from 5 to 1
move 3 from 2 to 7
move 6 from 6 to 7
move 2 from 3 to 1
move 1 from 9 to 3
move 6 from 7 to 9
move 2 from 5 to 3
move 3 from 4 to 9
move 2 from 8 to 1
move 1 from 9 to 7
move 2 from 7 to 1
move 6 from 9 to 7
move 5 from 8 to 7
move 9 from 4 to 1
move 7 from 7 to 1
move 8 from 2 to 9
move 2 from 4 to 5
move 5 from 7 to 9
move 3 from 2 to 9
move 2 from 7 to 4
move 2 from 5 to 8
move 7 from 2 to 5
move 6 from 4 to 1
move 1 from 1 to 4
move 2 from 5 to 3
move 1 from 3 to 6
move 3 from 2 to 5
move 1 from 7 to 8
move 1 from 8 to 2
move 3 from 5 to 8
move 1 from 8 to 4
move 3 from 4 to 6
move 6 from 5 to 6
move 5 from 1 to 2
move 3 from 9 to 3
move 1 from 1 to 3
move 5 from 3 to 8
move 2 from 1 to 7
move 1 from 5 to 9
move 2 from 7 to 8
move 3 from 3 to 1
move 1 from 1 to 3
move 2 from 7 to 3
move 7 from 8 to 2
move 1 from 6 to 8
move 9 from 9 to 5
move 11 from 2 to 6
move 1 from 2 to 7
move 1 from 8 to 4
move 3 from 9 to 7
move 2 from 7 to 8
move 2 from 3 to 7
move 1 from 4 to 5
move 2 from 2 to 3
move 2 from 9 to 7
move 6 from 2 to 1
move 1 from 6 to 4
move 4 from 5 to 3
move 8 from 6 to 9
move 3 from 9 to 3
move 5 from 7 to 6
move 1 from 7 to 8
move 2 from 3 to 2
move 5 from 6 to 3
move 5 from 9 to 6
move 1 from 5 to 7
move 1 from 4 to 9
move 3 from 1 to 2
move 4 from 1 to 2
move 6 from 5 to 6
move 5 from 6 to 9
move 7 from 3 to 9
move 8 from 1 to 8
move 2 from 6 to 5
move 7 from 9 to 2
move 4 from 5 to 2
move 8 from 2 to 5
move 2 from 6 to 2
move 2 from 8 to 7
move 6 from 1 to 3
move 4 from 2 to 1
move 4 from 9 to 8
move 7 from 3 to 9
move 1 from 7 to 4
move 1 from 5 to 4
move 4 from 5 to 1
move 4 from 6 to 4
move 4 from 9 to 4
move 4 from 4 to 3
move 3 from 5 to 3
move 6 from 8 to 3
move 11 from 1 to 6
move 8 from 8 to 3
move 2 from 4 to 5
move 1 from 2 to 1
move 5 from 1 to 4
move 2 from 1 to 9
move 2 from 8 to 9
move 6 from 2 to 5
move 3 from 6 to 8
move 1 from 9 to 4
move 3 from 6 to 7
move 2 from 4 to 7
move 3 from 3 to 2
move 10 from 5 to 4
move 1 from 5 to 3
move 2 from 4 to 1
move 3 from 2 to 8
move 1 from 2 to 1
move 10 from 6 to 4
move 21 from 3 to 4
move 1 from 4 to 5
move 3 from 4 to 6
move 3 from 4 to 2
move 2 from 2 to 8
move 3 from 9 to 6
move 2 from 1 to 2
move 4 from 9 to 2
move 1 from 2 to 7
move 10 from 6 to 4
move 2 from 2 to 1
move 2 from 7 to 1
move 1 from 4 to 1
move 1 from 2 to 9
move 1 from 9 to 3
move 4 from 2 to 9
move 2 from 5 to 2
move 1 from 4 to 6
move 1 from 2 to 3
move 3 from 8 to 6
move 4 from 6 to 7
move 1 from 8 to 3
move 3 from 4 to 7
move 1 from 4 to 2
move 2 from 4 to 7
move 2 from 9 to 1
move 4 from 1 to 8
move 1 from 2 to 5
move 2 from 5 to 6
move 2 from 6 to 9
move 7 from 7 to 8
move 1 from 8 to 9
move 1 from 3 to 5
move 1 from 1 to 5
move 4 from 9 to 2
move 6 from 7 to 2
move 3 from 1 to 7
move 4 from 9 to 3
move 1 from 9 to 8
move 1 from 2 to 6
move 2 from 2 to 6
move 3 from 6 to 7
move 3 from 2 to 5
move 6 from 4 to 2
move 2 from 2 to 7
move 14 from 4 to 8
move 4 from 3 to 4
move 5 from 4 to 5
move 2 from 5 to 6
move 5 from 7 to 3
move 1 from 4 to 2
move 1 from 6 to 5
move 6 from 8 to 2
move 1 from 8 to 7
move 5 from 5 to 9
move 5 from 2 to 7
move 2 from 2 to 9
move 2 from 8 to 6
move 1 from 5 to 1
move 4 from 5 to 6
move 5 from 4 to 7
move 2 from 6 to 4
move 6 from 2 to 8
move 7 from 3 to 6
move 5 from 8 to 6
move 1 from 1 to 5
move 2 from 9 to 5
move 14 from 4 to 7
move 3 from 3 to 2
move 3 from 2 to 6
move 2 from 6 to 1
move 1 from 1 to 4
move 4 from 6 to 4
move 2 from 7 to 3
move 1 from 4 to 1
move 4 from 2 to 4
move 4 from 7 to 3
move 4 from 6 to 5
move 3 from 4 to 9
move 6 from 7 to 3
move 1 from 7 to 2
move 10 from 7 to 6
move 4 from 6 to 7
move 1 from 3 to 1
move 5 from 4 to 3
move 2 from 4 to 3
move 7 from 8 to 7
move 7 from 8 to 9
move 1 from 7 to 5
move 1 from 2 to 4
move 2 from 4 to 1
move 1 from 3 to 2
move 6 from 7 to 1
move 1 from 2 to 4
move 8 from 7 to 1
move 3 from 9 to 7
move 3 from 6 to 4
move 1 from 4 to 2
move 7 from 3 to 7
move 3 from 9 to 5
move 1 from 2 to 5
move 9 from 6 to 7
move 2 from 1 to 3
move 2 from 8 to 2
move 1 from 5 to 1
move 3 from 9 to 4
move 4 from 7 to 2
move 2 from 1 to 7
move 7 from 9 to 2
move 1 from 8 to 6
move 3 from 8 to 9
move 3 from 4 to 9
move 3 from 6 to 1
move 5 from 3 to 4
move 6 from 9 to 1
move 1 from 6 to 7
move 9 from 1 to 4
move 3 from 5 to 6
move 2 from 7 to 3
move 2 from 9 to 6
move 1 from 5 to 2
move 2 from 5 to 1
move 2 from 6 to 5
move 3 from 5 to 6
move 1 from 4 to 5
move 6 from 1 to 3
move 2 from 5 to 8
move 5 from 3 to 8
move 8 from 7 to 2
move 10 from 7 to 2
move 3 from 1 to 3
move 9 from 3 to 2
move 2 from 1 to 2
move 4 from 3 to 2
move 3 from 5 to 4
move 1 from 4 to 9
move 7 from 4 to 1
move 8 from 2 to 8
move 2 from 6 to 9
move 3 from 8 to 7
move 1 from 2 to 1
move 6 from 8 to 7
move 3 from 7 to 6
move 2 from 1 to 9
move 3 from 9 to 1
move 1 from 2 to 3
move 1 from 9 to 4
move 3 from 2 to 8
move 1 from 2 to 9
move 4 from 2 to 9
move 2 from 8 to 5
move 7 from 4 to 7
move 3 from 4 to 9
move 1 from 2 to 5
move 2 from 4 to 3
move 4 from 6 to 3
move 1 from 8 to 4
move 3 from 6 to 1
move 1 from 6 to 5
move 2 from 7 to 4
move 1 from 3 to 5
move 2 from 1 to 4
move 1 from 8 to 7
move 2 from 1 to 5
move 4 from 3 to 5
move 6 from 9 to 8
move 4 from 2 to 3
move 4 from 2 to 5
move 14 from 2 to 5
move 5 from 4 to 9
move 3 from 7 to 1
move 2 from 7 to 4
move 6 from 8 to 7
move 1 from 1 to 8
move 1 from 9 to 8
move 1 from 7 to 1
move 3 from 1 to 4
move 1 from 1 to 2
move 1 from 3 to 6
move 8 from 5 to 1
move 1 from 8 to 6
move 2 from 5 to 2
move 13 from 5 to 1
move 3 from 3 to 5
move 5 from 2 to 4
move 1 from 4 to 3
move 6 from 4 to 7
move 1 from 8 to 4
move 2 from 9 to 4
move 3 from 7 to 8
move 2 from 9 to 6
move 1 from 2 to 9
move 2 from 1 to 2
move 4 from 1 to 8
move 6 from 7 to 4
move 3 from 5 to 8
move 1 from 9 to 7
move 2 from 5 to 2
move 4 from 6 to 4
move 3 from 4 to 9
move 1 from 7 to 6
move 3 from 3 to 8
move 1 from 9 to 5
move 1 from 8 to 9
move 1 from 8 to 2
move 5 from 4 to 7
move 9 from 7 to 8
move 3 from 8 to 9
move 1 from 5 to 4
move 2 from 9 to 3
move 8 from 8 to 7
move 8 from 2 to 9
move 2 from 8 to 3
move 6 from 1 to 4
move 5 from 7 to 3
move 4 from 5 to 1
move 4 from 1 to 9
move 2 from 9 to 5
move 2 from 8 to 3
move 4 from 9 to 4
move 2 from 1 to 3
move 6 from 4 to 3
move 1 from 4 to 6
move 2 from 1 to 5
move 9 from 7 to 4
move 1 from 3 to 7
move 8 from 4 to 9
move 7 from 8 to 4
move 1 from 6 to 9
move 2 from 5 to 6
move 1 from 6 to 2
move 2 from 1 to 7
move 3 from 4 to 9
move 5 from 4 to 7
move 2 from 7 to 2
move 4 from 4 to 5
move 3 from 2 to 1
move 2 from 1 to 6
move 2 from 6 to 8
move 1 from 5 to 2
move 3 from 1 to 2
move 5 from 9 to 1
move 5 from 4 to 5
move 8 from 3 to 9
move 3 from 9 to 6
move 5 from 5 to 4
move 2 from 9 to 2
move 7 from 8 to 6
move 3 from 3 to 7
move 1 from 9 to 5
move 6 from 1 to 5
move 4 from 9 to 5
move 6 from 7 to 2
move 1 from 9 to 6
move 7 from 4 to 2
move 4 from 5 to 7
move 3 from 2 to 4
move 1 from 9 to 6
move 4 from 4 to 9
move 2 from 2 to 4
move 2 from 4 to 5
move 2 from 9 to 8
move 1 from 1 to 3
move 2 from 6 to 4
move 2 from 1 to 9
move 1 from 2 to 8
move 4 from 6 to 8
move 3 from 1 to 3
move 1 from 5 to 3
move 1 from 5 to 7
move 4 from 3 to 8
move 6 from 7 to 6
move 4 from 1 to 7
move 2 from 6 to 2
move 6 from 3 to 8
move 5 from 6 to 2
move 2 from 8 to 2
move 4 from 1 to 3
move 1 from 3 to 1
move 3 from 8 to 1
move 1 from 9 to 1
move 6 from 7 to 3
move 4 from 1 to 9
move 1 from 2 to 6
move 1 from 2 to 1
move 4 from 6 to 4
move 2 from 5 to 9
move 3 from 6 to 5
move 2 from 4 to 6
move 3 from 2 to 3
move 3 from 5 to 1
move 6 from 9 to 4
move 1 from 3 to 2
move 1 from 8 to 1
move 1 from 8 to 6
move 3 from 1 to 6
move 2 from 3 to 4
move 1 from 4 to 9
move 5 from 2 to 8
move 3 from 1 to 5
move 8 from 9 to 6
move 2 from 5 to 6
move 1 from 4 to 7
move 2 from 3 to 7
move 1 from 7 to 4
move 2 from 9 to 2
move 2 from 4 to 3
move 9 from 4 to 8
move 5 from 3 to 2
move 1 from 9 to 5
move 2 from 3 to 1
move 1 from 5 to 4
move 1 from 9 to 4
move 2 from 5 to 9
move 3 from 2 to 7
move 2 from 4 to 1
move 6 from 6 to 7
move 2 from 9 to 7
move 9 from 5 to 6
move 10 from 8 to 7
move 1 from 1 to 3
move 4 from 6 to 1
move 9 from 7 to 8
move 7 from 7 to 1
move 1 from 9 to 4
move 5 from 6 to 3
move 1 from 1 to 7
move 1 from 3 to 5
move 1 from 7 to 4
move 1 from 2 to 6
move 1 from 7 to 1
move 1 from 8 to 4
move 1 from 9 to 4
move 4 from 7 to 3
move 1 from 5 to 7
move 1 from 9 to 7
move 4 from 2 to 7
move 12 from 8 to 6
move 3 from 2 to 9
move 5 from 8 to 4
move 2 from 1 to 5
move 5 from 4 to 9
move 1 from 4 to 6
move 10 from 6 to 7
move 2 from 7 to 5
move 6 from 6 to 3
move 1 from 6 to 8
move 3 from 1 to 5
move 9 from 1 to 5
move 2 from 3 to 8
move 6 from 3 to 6
move 3 from 7 to 3
move 6 from 2 to 7
move 1 from 6 to 9
move 2 from 3 to 1
move 4 from 3 to 2
move 4 from 9 to 1
move 4 from 2 to 4
move 3 from 6 to 3
move 2 from 9 to 2
move 1 from 7 to 5
move 2 from 8 to 9
move 4 from 5 to 1
move 5 from 7 to 2
move 1 from 3 to 4
move 3 from 7 to 4
move 3 from 5 to 8
move 1 from 4 to 8
